Dateiname;Ort;Kategorie/Signatur;Typ;Datum;Nummer;Format;Dateigröße
Reichshof, Hotel_F Mon 3449_Speisen-Karte_06.11.1916;Reichshof, Hotel;F Mon 3449;Speisen-Karte;06.11.1916;;DIR;6,847 MB
Reichshof, Hotel_F Mon 3449_Speisen-Karte_06.11.1916_01.jpg;Reichshof, Hotel;;Speisen-Karte;06.11.1916;1;JPG;6,847 MB
Reichshof, Hotel_F Mon 3450_Speisen-Karte_07.11.1916;Reichshof, Hotel;F Mon 3450;Speisen-Karte;07.11.1916;;DIR;6,247 MB
Reichshof, Hotel_F Mon 3450_Speisen-Karte_07.11.1916_01.jpg;Reichshof, Hotel;;Speisen-Karte;07.11.1916;1;JPG;6,247 MB
Reichshof, Hotel_F Mon 853_Abendkarte_10.03.1916;Reichshof, Hotel;F Mon 853;Abendkarte;10.03.1916;;DIR;6,433 MB
Reichshof, Hotel_F Mon 853_Abendkarte_10.03.1916_01.jpg;Reichshof, Hotel;;Abendkarte;10.03.1916;1;JPG;6,433 MB
Reinhof-Gaststätten und Bierstuben;Reinhof-Gaststätten und Bierstuben;;;;;DIR;45,335 MB
Reinhof-Gaststätten und Bierstuben, im Hotel Reinischer Hof_Speisen-Karte_27.08.1938;Reinhof-Gaststätten und Bierstuben, im Hotel Reinischer Hof;;Speisen-Karte;27.08.1938;;DIR;45,335 MB
Reinhof-Gaststätten und Bierstuben, im Hotel Reinischer Hof_Speisen-Karte_27.08.1938_01.jpg;Reinhof-Gaststätten und Bierstuben, im Hotel Reinischer Hof;;Speisen-Karte;27.08.1938;1;JPG;12,621 MB
Reinhof-Gaststätten und Bierstuben, im Hotel Reinischer Hof_Speisen-Karte_27.08.1938_02.jpg;Reinhof-Gaststätten und Bierstuben, im Hotel Reinischer Hof;;Speisen-Karte;27.08.1938;2;JPG;23,584 MB
Reinhof-Gaststätten und Bierstuben, im Hotel Reinischer Hof_Speisen-Karte_27.08.1938_03.jpg;Reinhof-Gaststätten und Bierstuben, im Hotel Reinischer Hof;;Speisen-Karte;27.08.1938;3;JPG;9,131 MB
Ringelnatz;Ringelnatz;;;;;DIR;23,940 MB
Ringelnatz, Café_Speisen und Getränke_ca. 1975;Ringelnatz, Café;;Speisen und Getränke;ca. 1975;;DIR;23,940 MB
Ringelnatz, Café_Speisen und Getränke_ca. 1975_01.jpg;Ringelnatz, Café;;Speisen und Getränke;ca. 1975;1;JPG;14,385 MB
Ringelnatz, Café_Speisen und Getränke_ca. 1975_02.jpg;Ringelnatz, Café;;Speisen und Getränke;ca. 1975;2;JPG;9,555 MB
Rischart's Backhaus;Rischart's Backhaus;;;;;DIR;23,274 MB
Rischart's Backhaus, Café_Café Karte_Oktober 1975;Rischart's Backhaus, Café;;Café Karte;01.10.1975;;DIR;23,274 MB
Rischart's Backhaus, Café_Café Karte_Oktober 1975_01.jpg;Rischart's Backhaus, Café;;Café Karte;01.10.1975;1;JPG;12,332 MB
Rischart's Backhaus, Café_Café Karte_Oktober 1975_02.jpg;Rischart's Backhaus, Café;;Café Karte;01.10.1975;2;JPG;10,942 MB
Roter Hahn;Roter Hahn;;;;;DIR;13,466 MB
Roter Hahn, Hotel-Restaurant_F Mon 3441_Kriegs-Speisenkarte_31.12.1916;Roter Hahn, Hotel-Restaurant;F Mon 3441;Kriegs-Speisenkarte;31.12.1916;;DIR;13,466 MB
Roter Hahn, Hotel-Restaurant_F Mon 3441_Kriegs-Speisenkarte_31.12.1916_01.jpg;Roter Hahn, Hotel-Restaurant;;Kriegs-Speisenkarte;31.12.1916;1;JPG;13,466 MB
Rutsch'n, Wiener;Rutsch'n, Wiener;;;;;DIR;32,720 MB
Rutsch'n, Wiener_Speisekarte_1965;Rutsch'n, Wiener;;Speisekarte;18.05.1905;;DIR;32,720 MB
Rutsch'n, Wiener_Speisekarte_1965_01.jpg;Rutsch'n, Wiener;;Speisekarte;18.05.1905;1;JPG;20,287 MB
Rutsch'n, Wiener_Speisekarte_1965_02.jpg;Rutsch'n, Wiener;;Speisekarte;18.05.1905;2;JPG;12,433 MB
Sängerwarte;Sängerwarte;;;;;DIR;23,985 MB
Sängerwarte, Gaststätte_Speisen-Karte_10.07.1938;Sängerwarte, Gaststätte;;Speisen-Karte;10.07.1938;;DIR;23,985 MB
Sängerwarte, Gaststätte_Speisen-Karte_10.07.1938_01.jpg;Sängerwarte, Gaststätte;;Speisen-Karte;10.07.1938;1;JPG;8,933 MB
Sängerwarte, Gaststätte_Speisen-Karte_10.07.1938_02.jpg;Sängerwarte, Gaststätte;;Speisen-Karte;10.07.1938;2;JPG;15,052 MB
Schelling-Salon;Schelling-Salon;;;;;DIR;32,773 MB
Schelling-Salon, Wiener Café und Restaurant_F Mon 945_Abend-Speisenkarte_14.08.1916;Schelling-Salon, Wiener Café und Restaurant;F Mon 945;Abend-Speisenkarte;14.08.1916;;DIR;32,773 MB
Schelling-Salon, Wiener Café und Restaurant_F Mon 945_Abend-Speisenkarte_14.08.1916_01.jpg;Schelling-Salon, Wiener Café und Restaurant;;Abend-Speisenkarte;14.08.1916;1;JPG;11,981 MB
Schelling-Salon, Wiener Café und Restaurant_F Mon 945_Abend-Speisenkarte_14.08.1916_02.jpg;Schelling-Salon, Wiener Café und Restaurant;;Abend-Speisenkarte;14.08.1916;2;JPG;15,379 MB
Schelling-Salon, Wiener Café und Restaurant_F Mon 945_Abend-Speisenkarte_14.08.1916_03.jpg;Schelling-Salon, Wiener Café und Restaurant;;Abend-Speisenkarte;14.08.1916;3;JPG;5,413 MB
Schneider;Schneider;;;;;DIR;82,271 MB
Schneider, Weinhaus_Wein und Speisenkarte_April 2008;Schneider, Weinhaus;;Wein und Speisenkarte;01.04.2008;;DIR;82,271 MB
Schneider, Weinhaus_Wein und Speisenkarte_April 2008_01.jpg;Schneider, Weinhaus;;Wein und Speisenkarte;01.04.2008;1;JPG;10,060 MB
Schneider, Weinhaus_Wein und Speisenkarte_April 2008_02.jpg;Schneider, Weinhaus;;Wein und Speisenkarte;01.04.2008;2;JPG;11,192 MB
Schneider, Weinhaus_Wein und Speisenkarte_April 2008_03.jpg;Schneider, Weinhaus;;Wein und Speisenkarte;01.04.2008;3;JPG;8,781 MB
Schneider, Weinhaus_Wein und Speisenkarte_April 2008_04.jpg;Schneider, Weinhaus;;Wein und Speisenkarte;01.04.2008;4;JPG;8,143 MB
Schneider, Weinhaus_Wein und Speisenkarte_April 2008_05.jpg;Schneider, Weinhaus;;Wein und Speisenkarte;01.04.2008;5;JPG;8,745 MB
Schneider, Weinhaus_Wein und Speisenkarte_April 2008_06.jpg;Schneider, Weinhaus;;Wein und Speisenkarte;01.04.2008;6;JPG;11,935 MB
Schneider, Weinhaus_Wein und Speisenkarte_April 2008_07.jpg;Schneider, Weinhaus;;Wein und Speisenkarte;01.04.2008;7;JPG;10,731 MB
Schneider, Weinhaus_Wein und Speisenkarte_April 2008_08.jpg;Schneider, Weinhaus;;Wein und Speisenkarte;01.04.2008;8;JPG;12,685 MB
Schönen Münchnerin, Zur;Schönen Münchnerin, Zur;;;;;DIR;21,844 MB
Schönen Münchnerin, Zur, Café im Sonnenhof_Speisekarte_ca. 1965;Schönen Münchnerin, Zur, Café im Sonnenhof;;Speisekarte;ca. 1965;;DIR;21,844 MB
Schönen Münchnerin, Zur, Café im Sonnenhof_Speisekarte_ca. 1965_01.jpg;Schönen Münchnerin, Zur, Café im Sonnenhof;;Speisekarte;ca. 1965;1;JPG;10,403 MB
Schönen Münchnerin, Zur, Café im Sonnenhof_Speisekarte_ca. 1965_02.jpg;Schönen Münchnerin, Zur, Café im Sonnenhof;;Speisekarte;ca. 1965;2;JPG;11,442 MB
Schottenhammel;Schottenhammel;;;;;DIR;8,967 MB
Schottenhammel, Festzelt_Speisekarte_Oktoberfest 1965;Schottenhammel, Festzelt;;Speisekarte;Oktoberfest 1965;;DIR;8,967 MB
Schottenhammel, Festzelt_Speisekarte_Oktoberfest 1965_01.jpg;Schottenhammel, Festzelt;;Speisekarte;Oktoberfest 1965;1;JPG;4,888 MB
Schottenhammel, Festzelt_Speisekarte_Oktoberfest 1965_02.jpg;Schottenhammel, Festzelt;;Speisekarte;Oktoberfest 1965;2;JPG;4,079 MB
Schwabinger Bräu;Schwabinger Bräu;;;;;DIR;34,140 MB
Schwabinger Bräu_Speisen und Getränke_1964;Schwabinger Bräu;;Speisen und Getränke;17.05.1905;;DIR;34,140 MB
Schwabinger Bräu_Speisen und Getränke_1964_01.jpg;Schwabinger Bräu;;Speisen und Getränke;17.05.1905;1;JPG;18,583 MB
Schwabinger Bräu_Speisen und Getränke_1964_02.jpg;Schwabinger Bräu;;Speisen und Getränke;17.05.1905;2;JPG;15,557 MB
Schwarzer Adler;Schwarzer Adler;;;;;DIR;18,476 MB
Schwarzer Adler, Hotel_Tages-Karte_ca.1930;Schwarzer Adler, Hotel;;Tages-Karte;ca.1930;;DIR;18,476 MB
Schwarzer Adler, Hotel_Tages-Karte_ca.1930_01.jpg;Schwarzer Adler, Hotel;;Tages-Karte;ca.1930;1;JPG;10,700 MB
Schwarzer Adler, Hotel_Tages-Karte_ca.1930_02.jpg;Schwarzer Adler, Hotel;;Tages-Karte;ca.1930;2;JPG;7,775 MB
Schwarzwälder's Naturweinhaus;Schwarzwälder's Naturweinhaus;;;;;DIR;249,927 MB
Schwarzwälder's Naturweinhaus_Speisenkarte_01.02.1960;Schwarzwälder's Naturweinhaus;;Speisenkarte;01.02.1960;;DIR;47,156 MB
Schwarzwälder's Naturweinhaus_Speisenkarte_01.02.1960_01.jpg;Schwarzwälder's Naturweinhaus;;Speisenkarte;01.02.1960;1;JPG;11,237 MB
Schwarzwälder's Naturweinhaus_Speisenkarte_01.02.1960_02.jpg;Schwarzwälder's Naturweinhaus;;Speisenkarte;01.02.1960;2;JPG;23,164 MB
Schwarzwälder's Naturweinhaus_Speisenkarte_01.02.1960_03.jpg;Schwarzwälder's Naturweinhaus;;Speisenkarte;01.02.1960;3;JPG;12,755 MB
Schwarzwälder's Naturweinhaus_Speisenkarte_06.03.1959;Schwarzwälder's Naturweinhaus;;Speisenkarte;06.03.1959;;DIR;49,411 MB
Schwarzwälder's Naturweinhaus_Speisenkarte_06.03.1959_01.jpg;Schwarzwälder's Naturweinhaus;;Speisenkarte;06.03.1959;1;JPG;11,735 MB
Schwarzwälder's Naturweinhaus_Speisenkarte_06.03.1959_02.jpg;Schwarzwälder's Naturweinhaus;;Speisenkarte;06.03.1959;2;JPG;24,871 MB
Schwarzwälder's Naturweinhaus_Speisenkarte_06.03.1959_03.jpg;Schwarzwälder's Naturweinhaus;;Speisenkarte;06.03.1959;3;JPG;12,805 MB
Schwarzwälder's Naturweinhaus_Speisenkarte_14.12.1959;Schwarzwälder's Naturweinhaus;;Speisenkarte;14.12.1959;;DIR;55,009 MB
Schwarzwälder's Naturweinhaus_Speisenkarte_14.12.1959_01.jpg;Schwarzwälder's Naturweinhaus;;Speisenkarte;14.12.1959;1;JPG;14,655 MB
Schwarzwälder's Naturweinhaus_Speisenkarte_14.12.1959_02.jpg;Schwarzwälder's Naturweinhaus;;Speisenkarte;14.12.1959;2;JPG;25,940 MB
Schwarzwälder's Naturweinhaus_Speisenkarte_14.12.1959_03.jpg;Schwarzwälder's Naturweinhaus;;Speisenkarte;14.12.1959;3;JPG;14,415 MB
Schwarzwälder's Naturweinhaus_Speisenkarte_17.09.1959;Schwarzwälder's Naturweinhaus;;Speisenkarte;17.09.1959;;DIR;48,711 MB
Schwarzwälder's Naturweinhaus_Speisenkarte_17.09.1959_01.jpg;Schwarzwälder's Naturweinhaus;;Speisenkarte;17.09.1959;1;JPG;11,484 MB
Schwarzwälder's Naturweinhaus_Speisenkarte_17.09.1959_02.jpg;Schwarzwälder's Naturweinhaus;;Speisenkarte;17.09.1959;2;JPG;23,827 MB
Schwarzwälder's Naturweinhaus_Speisenkarte_17.09.1959_03.jpg;Schwarzwälder's Naturweinhaus;;Speisenkarte;17.09.1959;3;JPG;13,401 MB
Schwarzwälder's Naturweinhaus_Speisenkarte_23.06.1959;Schwarzwälder's Naturweinhaus;;Speisenkarte;23.06.1959;;DIR;49,640 MB
Schwarzwälder's Naturweinhaus_Speisenkarte_23.06.1959_01.jpg;Schwarzwälder's Naturweinhaus;;Speisenkarte;23.06.1959;1;JPG;13,556 MB
Schwarzwälder's Naturweinhaus_Speisenkarte_23.06.1959_02.jpg;Schwarzwälder's Naturweinhaus;;Speisenkarte;23.06.1959;2;JPG;22,634 MB
Schwarzwälder's Naturweinhaus_Speisenkarte_23.06.1959_03.jpg;Schwarzwälder's Naturweinhaus;;Speisenkarte;23.06.1959;3;JPG;13,450 MB
Schweizer Haus;Schweizer Haus;;;;;DIR;10,819 MB
Schweizer Haus_Kleine Karte_1962;Schweizer Haus;;Kleine Karte;15.05.1905;;DIR;10,819 MB
Schweizer Haus_Kleine Karte_1962_01.jpg;Schweizer Haus;;Kleine Karte;15.05.1905;1;JPG;10,819 MB
Schweizer Hof;Schweizer Hof;;;;;DIR;22,085 MB
Schweizer Hof, Gaststätte_Speisen und Getränkekarte_19.06.1981;Schweizer Hof, Gaststätte;;Speisen und Getränkekarte;19.06.1981;;DIR;14,714 MB
Schweizer Hof, Gaststätte_Speisen und Getränkekarte_19.06.1981_01.jpg;Schweizer Hof, Gaststätte;;Speisen und Getränkekarte;19.06.1981;1;JPG;2,801 MB
Schweizer Hof, Gaststätte_Speisen und Getränkekarte_19.06.1981_02.jpg;Schweizer Hof, Gaststätte;;Speisen und Getränkekarte;19.06.1981;2;JPG;4,389 MB
Schweizer Hof, Gaststätte_Speisen und Getränkekarte_19.06.1981_03.jpg;Schweizer Hof, Gaststätte;;Speisen und Getränkekarte;19.06.1981;3;JPG;3,850 MB
Schweizer Hof, Gaststätte_Speisen und Getränkekarte_19.06.1981_04.jpg;Schweizer Hof, Gaststätte;;Speisen und Getränkekarte;19.06.1981;4;JPG;3,674 MB
Schweizer Hof, Gaststätte_Tageskarte_19.06.1981;Schweizer Hof, Gaststätte;;Tageskarte;19.06.1981;;DIR;7,371 MB
Schweizer Hof, Gaststätte_Tageskarte_19.06.1981_01.jpg;Schweizer Hof, Gaststätte;;Tageskarte;19.06.1981;1;JPG;7,371 MB
Sell's Schoppenstube;Sell's Schoppenstube;;;;;DIR;36,050 MB
Sell's Schoppenstube_Speisenkarte_25.08.1938;Sell's Schoppenstube;;Speisenkarte;25.08.1938;;DIR;36,050 MB
Sell's Schoppenstube_Speisenkarte_25.08.1938_01.jpg;Sell's Schoppenstube;;Speisenkarte;25.08.1938;1;JPG;10,605 MB
Sell's Schoppenstube_Speisenkarte_25.08.1938_02.jpg;Sell's Schoppenstube;;Speisenkarte;25.08.1938;2;JPG;13,031 MB
Sell's Schoppenstube_Speisenkarte_25.08.1938_03.jpg;Sell's Schoppenstube;;Speisenkarte;25.08.1938;3;JPG;12,414 MB
Sommer, Friedrich;Sommer, Friedrich;;;;;DIR;42,124 MB
Sommer, Friedrich, Wein-Restaurant_Speisen-Karte_1902;Sommer, Friedrich, Wein-Restaurant;;Speisen-Karte;16.03.1905;;DIR;42,124 MB
Sommer, Friedrich, Wein-Restaurant_Speisen-Karte_1902_01.jpg;Sommer, Friedrich, Wein-Restaurant;;Speisen-Karte;16.03.1905;1;JPG;22,466 MB
Sommer, Friedrich, Wein-Restaurant_Speisen-Karte_1902_02.jpg;Sommer, Friedrich, Wein-Restaurant;;Speisen-Karte;16.03.1905;2;JPG;9,878 MB
Sommer, Friedrich, Wein-Restaurant_Speisen-Karte_1902_03.jpg;Sommer, Friedrich, Wein-Restaurant;;Speisen-Karte;16.03.1905;3;JPG;9,780 MB
Spaten-Bräuhallen;Spaten-Bräuhallen;;;;;DIR;136,196 MB
Spaten-Bräuhallen_Hauszeitung_April 1973;Spaten-Bräuhallen;;Hauszeitung;01.04.1973;;DIR;71,527 MB
Spaten-Bräuhallen_Hauszeitung_April 1973_01.jpg;Spaten-Bräuhallen;;Hauszeitung;01.04.1973;1;JPG;18,173 MB
Spaten-Bräuhallen_Hauszeitung_April 1973_02.jpg;Spaten-Bräuhallen;;Hauszeitung;01.04.1973;2;JPG;18,809 MB
Spaten-Bräuhallen_Hauszeitung_April 1973_03.jpg;Spaten-Bräuhallen;;Hauszeitung;01.04.1973;3;JPG;17,635 MB
Spaten-Bräuhallen_Hauszeitung_April 1973_04.jpg;Spaten-Bräuhallen;;Hauszeitung;01.04.1973;4;JPG;16,911 MB
Spaten-Bräuhallen_Hauszeitung_März 1973;Spaten-Bräuhallen;;Hauszeitung;01.03.1973;;DIR;64,669 MB
Spaten-Bräuhallen_Hauszeitung_März 1973_01.jpg;Spaten-Bräuhallen;;Hauszeitung;01.03.1973;1;JPG;17,228 MB
Spaten-Bräuhallen_Hauszeitung_März 1973_02.jpg;Spaten-Bräuhallen;;Hauszeitung;01.03.1973;2;JPG;17,109 MB
Spaten-Bräuhallen_Hauszeitung_März 1973_03.jpg;Spaten-Bräuhallen;;Hauszeitung;01.03.1973;3;JPG;15,524 MB
Spaten-Bräuhallen_Hauszeitung_März 1973_04.jpg;Spaten-Bräuhallen;;Hauszeitung;01.03.1973;4;JPG;14,808 MB
Spatenhaus;Spatenhaus;;;;;DIR;39,433 MB
Spatenhaus, Gaststätte_Speisekarte_27.10.1959;Spatenhaus, Gaststätte;;Speisekarte;27.10.1959;;DIR;39,433 MB
Spatenhaus, Gaststätte_Speisekarte_27.10.1959_01.jpg;Spatenhaus, Gaststätte;;Speisekarte;27.10.1959;1;JPG;19,800 MB
Spatenhaus, Gaststätte_Speisekarte_27.10.1959_02.jpg;Spatenhaus, Gaststätte;;Speisekarte;27.10.1959;2;JPG;8,655 MB
Spatenhaus, Gaststätte_Speisekarte_27.10.1959_03.jpg;Spatenhaus, Gaststätte;;Speisekarte;27.10.1959;3;JPG;10,978 MB
Spöckmeier, Zum;Spöckmeier, Zum;;;;;DIR;131,288 MB
Spöckmeier, Zum_150 Jahre Salvator-Ausschank_1977;Spöckmeier, Zum;;150 Jahre Salvator-Ausschank;30.05.1905;;DIR;57,283 MB
Spöckmeier, Zum_150 Jahre Salvator-Ausschank_1977_01.jpg;Spöckmeier, Zum;;150 Jahre Salvator-Ausschank;30.05.1905;1;JPG;18,690 MB
Spöckmeier, Zum_150 Jahre Salvator-Ausschank_1977_02.jpg;Spöckmeier, Zum;;150 Jahre Salvator-Ausschank;30.05.1905;2;JPG;11,776 MB
Spöckmeier, Zum_150 Jahre Salvator-Ausschank_1977_03.jpg;Spöckmeier, Zum;;150 Jahre Salvator-Ausschank;30.05.1905;3;JPG;8,574 MB
Spöckmeier, Zum_150 Jahre Salvator-Ausschank_1977_04.jpg;Spöckmeier, Zum;;150 Jahre Salvator-Ausschank;30.05.1905;4;JPG;18,243 MB
Spöckmeier, Zum_Speisekarte_03.02.1977;Spöckmeier, Zum;;Speisekarte;03.02.1977;;DIR;54,691 MB
Spöckmeier, Zum_Speisekarte_03.02.1977_01.jpg;Spöckmeier, Zum;;Speisekarte;03.02.1977;1;JPG;18,730 MB
Spöckmeier, Zum_Speisekarte_03.02.1977_02.jpg;Spöckmeier, Zum;;Speisekarte;03.02.1977;2;JPG;14,039 MB
Spöckmeier, Zum_Speisekarte_03.02.1977_03.jpg;Spöckmeier, Zum;;Speisekarte;03.02.1977;3;JPG;13,992 MB
Spöckmeier, Zum_Speisekarte_03.02.1977_04.jpg;Spöckmeier, Zum;;Speisekarte;03.02.1977;4;JPG;7,930 MB
Spöckmeier, Zum_Tageskarte_03.02.1977;Spöckmeier, Zum;;Tageskarte;03.02.1977;;DIR;19,314 MB
Spöckmeier, Zum_Tageskarte_03.02.1977_01.jpg;Spöckmeier, Zum;;Tageskarte;03.02.1977;1;JPG;9,875 MB
Spöckmeier, Zum_Tageskarte_03.02.1977_02.jpg;Spöckmeier, Zum;;Tageskarte;03.02.1977;2;JPG;9,438 MB
St. Paul;St. Paul;;;;;DIR;37,000 MB
St. Paul, Gaststätte_Speisekarte_ca. 1938;St. Paul, Gaststätte;;Speisekarte;ca. 1938;;DIR;37,000 MB
St. Paul, Gaststätte_Speisekarte_ca. 1938_01.jpg;St. Paul, Gaststätte;;Speisekarte;ca. 1938;1;JPG;10,133 MB
St. Paul, Gaststätte_Speisekarte_ca. 1938_02.jpg;St. Paul, Gaststätte;;Speisekarte;ca. 1938;2;JPG;19,279 MB
St. Paul, Gaststätte_Speisekarte_ca. 1938_03.jpg;St. Paul, Gaststätte;;Speisekarte;ca. 1938;3;JPG;7,588 MB
Stadt Wien;Stadt Wien;;;;;DIR;7,656 MB
Stadt Wien, Restaurant_Speisekarte_03.06.1941;Stadt Wien, Restaurant;;Speisekarte;03.06.1941;;DIR;7,656 MB
Stadt Wien, Restaurant_Speisekarte_03.06.1941_01.jpg;Stadt Wien, Restaurant;;Speisekarte;03.06.1941;1;JPG;3,758 MB
Stadt Wien, Restaurant_Speisekarte_03.06.1941_02.jpg;Stadt Wien, Restaurant;;Speisekarte;03.06.1941;2;JPG;3,897 MB
Starnberger Bahnhof;Starnberger Bahnhof;;;;;DIR;32,370 MB
Starnberger Bahnhof_Speisen-Karte;Starnberger Bahnhof;;Speisen-Karte;;;DIR;32,370 MB
Starnberger Bahnhof_Speisen-Karte_01.jpg;Starnberger Bahnhof;;Speisen-Karte;;1;JPG;11,881 MB
Starnberger Bahnhof_Speisen-Karte_02.jpg;Starnberger Bahnhof;;Speisen-Karte;;2;JPG;10,307 MB
Starnberger Bahnhof_Speisen-Karte_03.jpg;Starnberger Bahnhof;;Speisen-Karte;;3;JPG;10,182 MB
Straßburger Keller;Straßburger Keller;;;;;DIR;110,027 MB
Straßburger Keller_Carte Permanente_ca. 1968;Straßburger Keller;;Carte Permanente;ca. 1968;;DIR;47,478 MB
Straßburger Keller_Carte Permanente_ca. 1968_01.jpg;Straßburger Keller;;Carte Permanente;ca. 1968;1;JPG;6,610 MB
Straßburger Keller_Carte Permanente_ca. 1968_02.jpg;Straßburger Keller;;Carte Permanente;ca. 1968;2;JPG;9,426 MB
Straßburger Keller_Carte Permanente_ca. 1968_03.jpg;Straßburger Keller;;Carte Permanente;ca. 1968;3;JPG;11,853 MB
Straßburger Keller_Carte Permanente_ca. 1968_04.jpg;Straßburger Keller;;Carte Permanente;ca. 1968;4;JPG;11,963 MB
Straßburger Keller_Carte Permanente_ca. 1968_05.jpg;Straßburger Keller;;Carte Permanente;ca. 1968;5;JPG;7,626 MB
Straßburger Keller_Getränkekarte_1963;Straßburger Keller;;Getränkekarte;16.05.1905;;DIR;29,556 MB
Straßburger Keller_Getränkekarte_1963_01.jpg;Straßburger Keller;;Getränkekarte;16.05.1905;1;JPG;5,402 MB
Straßburger Keller_Getränkekarte_1963_02.jpg;Straßburger Keller;;Getränkekarte;16.05.1905;2;JPG;6,837 MB
Straßburger Keller_Getränkekarte_1963_03.jpg;Straßburger Keller;;Getränkekarte;16.05.1905;3;JPG;5,706 MB
Straßburger Keller_Getränkekarte_1963_04.jpg;Straßburger Keller;;Getränkekarte;16.05.1905;4;JPG;5,842 MB
Straßburger Keller_Getränkekarte_1963_05.jpg;Straßburger Keller;;Getränkekarte;16.05.1905;5;JPG;5,769 MB
Straßburger Keller_Speisekarte_1963;Straßburger Keller;;Speisekarte;16.05.1905;;DIR;21,125 MB
Straßburger Keller_Speisekarte_1963_01.jpg;Straßburger Keller;;Speisekarte;16.05.1905;1;JPG;21,125 MB
Straßburger Keller_Tageskarte_1971;Straßburger Keller;;Tageskarte;24.05.1905;;DIR;11,869 MB
Straßburger Keller_Tageskarte_1971_01.jpg;Straßburger Keller;;Tageskarte;24.05.1905;1;JPG;6,130 MB
Straßburger Keller_Tageskarte_1971_02.jpg;Straßburger Keller;;Tageskarte;24.05.1905;2;JPG;5,739 MB
Tafelmeyer, Anton;Tafelmeyer, Anton;;;;;DIR;13,278 MB
Tafelmeyer, Anton, Gasthaus_Speise-Karte_ca. 1855;Tafelmeyer, Anton, Gasthaus;;Speise-Karte;ca. 1855;;DIR;13,278 MB
Tafelmeyer, Anton, Gasthaus_Speise-Karte_ca. 1855_01.jpg;Tafelmeyer, Anton, Gasthaus;;Speise-Karte;ca. 1855;1;JPG;13,278 MB
Tasca Valenciana;Tasca Valenciana;;;;;DIR;32,679 MB
Tasca Valenciana_Speise und Getränkekarte_ca. 1965;Tasca Valenciana;;Speise und Getränkekarte;ca. 1965;;DIR;18,468 MB
Tasca Valenciana_Speise und Getränkekarte_ca. 1965_01.jpg;Tasca Valenciana;;Speise und Getränkekarte;ca. 1965;1;JPG;12,856 MB
Tasca Valenciana_Speise und Getränkekarte_ca. 1965_02.jpg;Tasca Valenciana;;Speise und Getränkekarte;ca. 1965;2;JPG;3,062 MB
Tasca Valenciana_Speise und Getränkekarte_ca. 1965_03.jpg;Tasca Valenciana;;Speise und Getränkekarte;ca. 1965;3;JPG;2,550 MB
Tasca Valenciana_Weinkarte_ca. 1965;Tasca Valenciana;;Weinkarte;ca. 1965;;DIR;14,211 MB
Tasca Valenciana_Weinkarte_ca. 1965_01.jpg;Tasca Valenciana;;Weinkarte;ca. 1965;1;JPG;9,994 MB
Tasca Valenciana_Weinkarte_ca. 1965_02.jpg;Tasca Valenciana;;Weinkarte;ca. 1965;2;JPG;4,217 MB
Theaterbetriebe;Theaterbetriebe;;;;;DIR;109,494 MB
Theaterbetriebe_Speise und Getränkekarte_1966;Theaterbetriebe;;Speise und Getränkekarte;19.05.1905;;DIR;109,494 MB
Theaterbetriebe_Speise und Getränkekarte_1966_01.jpg;Theaterbetriebe;;Speise und Getränkekarte;19.05.1905;1;JPG;7,019 MB
Theaterbetriebe_Speise und Getränkekarte_1966_02.jpg;Theaterbetriebe;;Speise und Getränkekarte;19.05.1905;2;JPG;7,575 MB
Theaterbetriebe_Speise und Getränkekarte_1966_03.jpg;Theaterbetriebe;;Speise und Getränkekarte;19.05.1905;3;JPG;4,186 MB
Theaterbetriebe_Speise und Getränkekarte_1966_04.jpg;Theaterbetriebe;;Speise und Getränkekarte;19.05.1905;4;JPG;4,640 MB
Theaterbetriebe_Speise und Getränkekarte_1966_05.jpg;Theaterbetriebe;;Speise und Getränkekarte;19.05.1905;5;JPG;4,279 MB
Theaterbetriebe_Speise und Getränkekarte_1966_06.jpg;Theaterbetriebe;;Speise und Getränkekarte;19.05.1905;6;JPG;8,606 MB
Theaterbetriebe_Speise und Getränkekarte_1966_07.jpg;Theaterbetriebe;;Speise und Getränkekarte;19.05.1905;7;JPG;4,383 MB
Theaterbetriebe_Speise und Getränkekarte_1966_08.jpg;Theaterbetriebe;;Speise und Getränkekarte;19.05.1905;8;JPG;5,939 MB
Theaterbetriebe_Speise und Getränkekarte_1966_09.jpg;Theaterbetriebe;;Speise und Getränkekarte;19.05.1905;9;JPG;3,967 MB
Theaterbetriebe_Speise und Getränkekarte_1966_10.jpg;Theaterbetriebe;;Speise und Getränkekarte;19.05.1905;10;JPG;9,604 MB
Theaterbetriebe_Speise und Getränkekarte_1966_11.jpg;Theaterbetriebe;;Speise und Getränkekarte;19.05.1905;11;JPG;4,298 MB
Theaterbetriebe_Speise und Getränkekarte_1966_12.jpg;Theaterbetriebe;;Speise und Getränkekarte;19.05.1905;12;JPG;4,583 MB
Theaterbetriebe_Speise und Getränkekarte_1966_13.jpg;Theaterbetriebe;;Speise und Getränkekarte;19.05.1905;13;JPG;7,532 MB
Theaterbetriebe_Speise und Getränkekarte_1966_14.jpg;Theaterbetriebe;;Speise und Getränkekarte;19.05.1905;14;JPG;3,998 MB
Theaterbetriebe_Speise und Getränkekarte_1966_15.jpg;Theaterbetriebe;;Speise und Getränkekarte;19.05.1905;15;JPG;3,925 MB
